Data,Vendas ,Temperatura
2020-01-01,0,35.0
2020-01-04,0,40.0
2020-01-08,4,48.0
2020-01-12,1,40.0
2020-01-16,3,37.0
2020-01-20,4,30.0
2020-01-24,1,28.0
2020-01-28,3,38.0
2020-02-01,2,28.0
2020-02-05,2,25.0
2020-02-08,1,30.0
2020-02-12,1,35.0
2020-02-16,0,44.0
2020-02-20,1,39.0
2020-02-24,1,44.0
2020-02-28,2,35.0
2020-03-03,0,46.0
2020-03-07,2,44.0
2020-03-11,0,25.0
2020-03-14,2,42.0
2020-03-18,2,25.0
2020-03-22,1,30.0
2020-03-26,1,41.0
2020-03-30,2,45.0
2020-04-03,3,41.0
2020-04-07,1,47.0
2020-04-11,0,38.0
2020-04-15,4,46.0
2020-04-18,4,45.0
2020-04-22,3,32.0
2020-04-26,4,44.0
2020-04-30,1,36.0
2020-05-04,3,29.0
2020-05-08,2,47.0
2020-05-12,2,33.0
2020-05-16,0,28.0
2020-05-20,3,40.0
2020-05-23,1,39.0
2020-05-27,0,35.0
2020-05-31,1,38.0
2020-06-04,4,28.0
2020-06-08,0,45.0
2020-06-12,3,36.0
2020-06-16,4,44.0
2020-06-20,1,32.0
2020-06-24,4,29.0
2020-06-28,4,31.0
2020-07-01,0,28.0
2020-07-05,3,30.0
2020-07-09,1,30.0
2020-07-13,3,44.0
2020-07-17,2,28.0
2020-07-21,1,43.0
2020-07-25,4,30.0
2020-07-29,1,39.0
2020-08-02,4,35.0
2020-08-05,2,28.0
2020-08-09,3,29.0
2020-08-13,2,30.0
2020-08-17,1,26.0
2020-08-21,1,30.0
2020-08-25,2,46.0
2020-08-29,0,26.0
2020-09-02,1,28.0
2020-09-06,2,38.0
2020-09-09,3,28.0
2020-09-13,4,38.0
2020-09-17,3,32.0
2020-09-21,4,46.0
2020-09-25,2,33.0
2020-09-29,4,44.0
2020-10-03,3,38.0
2020-10-07,3,37.0
2020-10-11,2,46.0
2020-10-14,3,42.0
2020-10-18,4,40.0
2020-10-22,0,28.0
2020-10-26,0,29.0
2020-10-30,1,26.0
2020-11-03,2,45.0
2020-11-07,0,48.0
2020-11-11,3,48.0
2020-11-15,1,28.0
2020-11-19,0,33.0
2020-11-22,0,29.0
2020-11-26,2,34.0
2020-11-30,2,42.0
2020-12-04,1,46.0
2020-12-08,3,43.0
2020-12-12,3,35.0
2020-12-16,1,43.0
2020-12-20,4,26.0
2020-12-24,3,38.0
2020-12-27,2,44.0
2020-12-31,3,48.0
2021-01-04,3,42.0
2021-01-08,0,45.0
2021-01-12,0,47.0
2021-01-16,4,34.0
2021-01-20,2,43.0
2021-01-24,0,42.0
2021-01-28,2,41.0
2021-01-31,1,36.0
2021-02-04,1,45.0
2021-02-08,3,44.0
2021-02-12,0,32.0
2021-02-16,2,27.0
2021-02-20,1,45.0
2021-02-24,2,32.0
2021-02-28,2,29.0
2021-03-04,3,25.0
